Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007/6/22,516.42,524.99,516.1,524.98,14392900,0,1,259.0095376,263.307806,258.8490422,263.3027905,14392900
2007/6/25,528.98,534.99,523.38,527.42,15834100,0,1,265.3089834,268.3232883,262.5003133,264.5265682,15834100
2007/6/26,532.73,533.2,526.24,530.26,11367600,0,1,267.1897893,267.425517,263.9347413,265.9509652,11367600
2007/6/27,525,527.99,519.56,526.29,12233900,0,1,263.3128215,264.8124507,260.5843991,263.9598187,12233900
2007/6/28,524.88,529.5,523.8,525.01,8328400,0,1,263.2526357,265.5697885,262.7109636,263.3178369,8328400
2007/6/29,526.02,527.4,519.46,522.7001,7753400,0,1,263.8244007,264.5165372,260.5342443,262.1593107,7753400
2007/7/2,525.49,531.85,524.2,530.38,6968200,0,1,263.5585801,266.7484268,262.9115829,266.0111509,6968200
2007/7/3,531.06,534.4,527.5,534.34,3739800,0,1,266.3522037,268.0273748,264.566692,267.9972819,3739800
2007/7/5,535.56,544.4,532.15,541.63,9875900,0,1,268.6091708,273.0428571,266.8988913,271.6535685,9875900
2007/7/6,541.25,543.87,538.73,539.4,5488500,0,1,271.4629802,272.7770366,270.1990787,270.535116,5488500
2007/7/9,543,548.74,540.26,542.56,7452100,0,1,272.3406896,275.2195765,270.9664475,272.1200084,7452100
2007/7/10,543.79,547,541.65,543.34,7704200,0,1,272.7369127,274.3468825,271.6635995,272.511216,7704200
2007/7/11,543.61,546.5,540.01,544.47,6611900,0,1,272.646634,274.0961084,270.8410604,273.0779655,6611900
2007/7/12,545.86,547.32,540.22,545.33,6876300,0,1,273.7751176,274.507378,270.9463855,273.509297,6876300
2007/7/13,547.91,552.67,547.25,552.16,10463700,0,1,274.8032914,277.190661,274.4722696,276.9348714,10463700
2007/7/16,550.3,558.58,549.31,552.99,13185800,0,1,276.0019917,280.1548111,275.505459,277.3511565,13185800
2007/7/17,555.04,557.73,552.38,555,8648500,0,1,278.3793303,279.7284951,277.045212,278.3592684,8648500
2007/7/18,553.89,554.5,543.81,549.5,12147800,0,1,277.8025499,278.1084943,272.7469437,275.6007531,12147800
2007/7/19,553.46,553.52,542.24,548.59,22232100,0,1,277.5868841,277.616977,271.959513,275.1443442,22232100
2007/7/20,511.9,523.18,509.5,520.12,35509000,0,1,256.7425396,262.4000037,255.5388239,260.8652661,35509000
2007/7/23,519.01,520,512.15,512.51,12700600,0,1,260.3085475,260.8050803,256.8679267,257.048484,12700600
2007/7/24,509.3,518.69,507.11,514.0001,11133000,0,1,255.4385142,260.1480521,254.3401236,257.7958411,11133000
2007/7/25,516.98,517.02,505.56,509.76,11078900,0,1,259.2904046,259.3104666,253.5627238,255.6692264,11078900
2007/7/26,508.74,512.59,498.88,508,13753000,0,1,255.1576472,257.0886079,250.2123817,254.7865015,13753000
2007/7/27,508.53,516.62,505.5,511.89,11007100,0,1,255.0523221,259.1098473,253.5326309,256.7375241,11007100
2007/7/30,512.92,519.34,510.5,516.11,7918600,0,1,257.2541188,260.4740585,256.0403721,258.8540577,7918600
2007/7/31,520.23,520.44,510,510,8532400,0,1,260.9204364,261.0257615,255.789598,255.789598,8532400
2007/8/1,510.5,516.51,508.14,512.94,8847500,0,1,256.0403721,259.054677,254.8567183,257.2641498,8847500
2007/8/2,513.72,514.99,509,511.01,6303400,0,1,257.6553574,258.2923237,255.2880498,256.2961617,6303400
2007/8/3,510.05,513.2,503,503,6346000,0,1,255.8146754,257.3945523,252.2787604,252.2787604,6346000
2007/8/6,503,510.15,502.5,510,7295600,0,1,252.2787604,255.8648302,252.0279862,255.789598,7295600
2007/8/7,509.75,519.88,509.04,516.02,8520000,0,1,255.6642109,260.7448945,255.3081117,258.8089183,8520000
2007/8/8,519.34,525.78,517.09,525.78,8129400,0,1,260.4740585,263.7040291,259.3455749,263.7040291,8129400
2007/8/9,520.8,526.82,514.63,514.73,9683300,0,1,261.2063189,264.2256392,258.1117663,258.1619211,9683300
2007/8/10,510.18,518.72,505.63,515.75,11738600,0,1,255.8798767,260.1630986,253.5978322,258.6735003,11738600
2007/8/13,519.54,519.75,513.03,515.5,6352200,0,1,260.5743681,260.6796932,257.3092891,258.5481133,6352200
2007/8/14,515.72,517.4,508,508.6,7260100,0,1,258.6584539,259.5010549,254.7865015,255.0874305,7260100
2007/8/15,509,511.69,496.71,497.55,10808100,0,1,255.2880498,256.6372145,249.124022,249.5453225,10808100
2007/8/16,492.02,496.43,480.46,491.52,17273900,0,1,246.7717608,248.9835885,240.9738632,246.5209867,17273900
2007/8/17,496.21,501,491.65,500.04,10947800,0,1,248.8732479,251.2756639,246.5861879,250.7941776,10947800
2007/8/20,502.46,502.56,496,497.92,5389200,0,1,252.0079243,252.0580791,248.7679227,249.7308954,5389200
2007/8/21,498.94,508.16,497.77,506.61,7213900,0,1,250.2424745,254.8667492,249.6556631,254.0893495,7213900
2007/8/22,509.96,516.25,509.25,512.75,6498800,0,1,255.7695361,258.9242744,255.4134368,257.1688556,6498800
2007/8/23,516,516.13,507,512.19,6147200,0,1,258.7988874,258.8640886,254.2849533,256.8879886,6147200
2007/8/24,512.61,515.55,508.5,515,4940400,0,1,257.0986389,258.5731907,255.0372756,258.2973391,4940400
2007/8/27,514.43,517.45,511.4,513.26,4645500,0,1,258.0114566,259.5261323,256.4917655,257.4246452,4645500
2007/8/28,511.53,514.98,505.79,506.4,6541200,0,1,256.5569668,258.2873082,253.6780799,253.9840244,6541200
2007/8/29,507.84,513.3,507.23,512.88,5093500,0,1,254.7062538,257.4447071,254.4003094,257.2340569,5093500
2007/8/30,512.36,515.4,510.578,511.4,5298000,0,1,256.9732518,258.4979584,256.0794929,256.4917655,5298000
2007/8/31,513.1,516.5,511.47,515.25,5949200,0,1,257.3443975,259.0496615,256.5268739,258.4227262,5949200
2007/9/4,515.02,528,514.62,525.15,7380000,0,1,258.3073701,264.8174661,258.1067508,263.3880537,7380000
2007/9/5,523.4,529.48,522.25,527.8,6619100,0,1,262.5103443,265.5597575,261.9335638,264.7171565,6619100
2007/9/6,529.36,529.83,518.24,523.52,7244500,0,1,265.4995717,265.7352994,259.9223554,262.5705301,7244500
2007/9/7,517.86,521.24,516.8,519.35,7319800,0,1,259.7317671,261.4270001,259.200126,260.4790739,7319800
2007/9/10,521.28,522.07,510.88,514.48,6445100,0,1,261.447062,261.8432851,256.2309604,258.0365341,6445100
2007/9/11,516.99,521.65,515.73,521.33,5401700,0,1,259.2954201,261.6326349,258.6634694,261.4721394,5401700
2007/9/12,520.53,527.98,519,522.65,5966000,0,1,261.0709009,264.8074352,260.3035321,262.1341831,5966000
2007/9/13,524.06,527.21,523.22,524.78,3778400,0,1,262.8413661,264.421243,262.4200656,263.2024808,3778400
2007/9/14,523.2,530.27,522.22,528.75,5524200,0,1,262.4100346,265.9559806,261.9185174,265.1936273,5524200
2007/9/17,526.53,529.28,524.07,525.3,4390600,0,1,264.0801902,265.4594479,262.8463816,263.4632859,4390600
2007/9/18,526.52,537.25,524.27,535.27,8422900,0,1,264.0751748,269.4567873,262.9466912,268.4637218,8422900
2007/9/19,539.27,549.4499,538.86,546.85,11042700,0,1,270.4699147,275.5756256,270.2642799,274.2716503,11042700
2007/9/20,547,556.8,546.0301,552.83,11038900,0,1,274.3468825,279.2620552,273.8604309,277.2709087,11038900
2007/9/21,556.34,560.79,552.83,560.1,16007300,0,1,279.031343,281.2632327,277.2709087,280.9171644,16007300
2007/9/24,561,571.46,560,568.02,10583400,0,1,281.3685578,286.6147523,280.8670096,284.8894264,10583400
2007/9/25,564,569.56,562.86,569,5455700,0,1,282.8732025,285.6618106,282.3014375,285.3809436,5455700
2007/9/26,570.4,571.7899,563.81,568.16,6685500,0,1,286.0831112,286.780213,282.7779083,284.9596431,6685500
2007/9/27,571.73,571.74,565.78,567.5,4108400,0,1,286.7501703,286.7551858,283.7659583,284.6286213,4108400
2007/9/28,567,569.55,564.12,567.27,5273700,0,1,284.3778472,285.6567952,282.9333883,284.5132652,5273700
2007/10/1,569.97,584.35,569.61,582.5499,9413100,0,1,285.8674454,293.079709,285.6868881,292.176872,9413100
2007/10/2,583.38,596.81,580.01,584.39,14120800,0,1,292.5932072,299.3289999,290.9029897,293.0997709,14120800
